"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6008","@smoke home page title test","chromium","2026-06-30","passed","2026-06-30","","homePage_Fixture.spec.ts","",""
"","2429","intercept and log requests","chromium","2026-06-30","passed","2026-06-30","","api/intercept.spec.ts","",""
"","9822","view product details on product page - macbook and MacBook Air","chromium","2026-06-30","passed","2026-06-30","","search.spec.ts","",""
"","10316","verify product information","chromium","2026-06-30","passed","2026-06-30","","ProductInfoPage.spec.ts","",""
"","347","POST API","chromium","2026-06-30","passed","2026-06-30","run e2e crud api tests","api/userapi.sep.spec.ts","",""
"","319","get user test","chromium","2026-06-30","passed","2026-06-30","","api/userapi.spec.ts","",""
"","10029","verify product images count","chromium","2026-06-30","passed","2026-06-30","","ProductInfoPage.spec.ts","",""
"","6007","logout link exist","chromium","2026-06-30","passed","2026-06-30","","homePage_Fixture.spec.ts","",""
"","1007","DELETE","chromium","2026-06-30","passed","2026-06-30","","api/userapi.indi.spec.ts","",""
"","360","GET API --GET ALL USERS","chromium","2026-06-30","passed","2026-06-30","run e2e crud api tests","api/userapi.sep.spec.ts","",""
"","9298","verify search result count - imac and iMac","chromium","2026-06-30","passed","2026-06-30","","search.spec.ts","",""
"","9886","view product details on product page - macbook and MacBook Pro","chromium","2026-06-30","passed","2026-06-30","","search.spec.ts","",""
"","5744","Invalid testdata from JSON-incorrect@open.com","chromium","2026-06-30","passed","2026-06-30","","loginPage_Fixture.spec.ts","",""
"","6059","get home page headers","chromium","2026-06-30","passed","2026-06-30","","homePage_Fixture.spec.ts","",""
"","1297","GET ALL Users","chromium","2026-06-30","passed","2026-06-30","","api/user.schema.spec.ts","",""
"","6350","@smoke user is able to login","chromium","2026-06-30","passed","2026-06-30","","loginPage_Fixture.spec.ts","",""
"","327","check user not available","chromium","2026-06-30","passed","2026-06-30","","api/userapi.spec.ts","",""
"","6070","Invalid testdata from JSON-wrong@open.com","chromium","2026-06-30","passed","2026-06-30","","loginPage_Fixture.spec.ts","",""
"","364","ASSERT GET API","chromium","2026-06-30","passed","2026-06-30","run e2e crud api tests","api/userapi.sep.spec.ts","",""
"","332","update a user","chromium","2026-06-30","passed","2026-06-30","","api/userapi.spec.ts","",""
"","5896","logo exists","chromium","2026-06-30","passed","2026-06-30","","ProductInfoPage.spec.ts","",""
"","1216","POST","chromium","2026-06-30","passed","2026-06-30","","api/userapi.indi.spec.ts","",""
"","2188","check pwd link","chromium","2026-06-30","passed","2026-06-30","","loginPage_Fixture.spec.ts","",""
"","331","delete a user","chromium","2026-06-30","passed","2026-06-30","","api/userapi.spec.ts","",""
"","5713","login test without fixtures in parallel-invalid@open.com","chromium","2026-06-30","passed","2026-06-30","","loginPage_Fixture.spec.ts","",""
"","9050","verify search result count - macbook and MacBook Pro","chromium","2026-06-30","passed","2026-06-30","","search.spec.ts","",""
"","1138","PUT","chromium","2026-06-30","passed","2026-06-30","","api/userapi.indi.spec.ts","",""
"","5761","Invalid testdata from JSON-invalid@open.com","chromium","2026-06-30","passed","2026-06-30","","loginPage_Fixture.spec.ts","",""
"","3326","mock search data api","chromium","2026-06-30","passed","2026-06-30","","api/intercept.spec.ts","",""
"","1612","ThisisGETAPI","chromium","2026-06-30","passed","2026-06-30","","api/user.schema.spec.ts","",""
"","2307","@smoke LoginTest","chromium","2026-06-30","passed","2026-06-30","","loginPage_Fixture.spec.ts","",""
"","342","create a user","chromium","2026-06-30","passed","2026-06-30","","api/userapi.spec.ts","",""
"","5638","login test without fixtures in parallel-","chromium","2026-06-30","passed","2026-06-30","","loginPage_Fixture.spec.ts","",""
"","12545","login to app with data driven test with wrong cred","chromium","2026-06-30","passed","2026-06-30","","loginPage_Fixture.spec.ts","",""
"","9297","verify search result count - macbook and MacBook Air","chromium","2026-06-30","passed","2026-06-30","","search.spec.ts","",""
"","5951","login test without fixtures in parallel-pwtestbatch@open.com","chromium","2026-06-30","passed","2026-06-30","","loginPage_Fixture.spec.ts","",""
"","348","DELETE API","chromium","2026-06-30","passed","2026-06-30","run e2e crud api tests","api/userapi.sep.spec.ts","",""
"","413","PUT API","chromium","2026-06-30","passed","2026-06-30","run e2e crud api tests","api/userapi.sep.spec.ts","",""
"","9923","view product details on product page - imac and iMac","chromium","2026-06-30","passed","2026-06-30","","search.spec.ts","",""
